ID,Name,Address,Phone Number,Review Count,Rating,Price Level,Number of Categories,Categories,Distance from Denver
0IqSfcno328kCD374Q7R7g,Your Mom's House,"['608 E 13th Ave', 'Denver, CO 80203']",(303) 860-4516,47,4.0,1,3,"['Music Venues', 'Dance Clubs', 'Bars']",803.9038389361751
_UXWmagvPB86UA3PE2revA,Ogden Theatre,"['935 E Colfax Ave', 'Denver, CO 80218']",(303) 832-1874,199,3.5,2,3,"['Music Venues', 'Venues & Event Spaces', 'Performing Arts']",679.8366628641336
oAWkAw_C5ByIZQubcVgIBw,Bluebird Theater,"['3317 E Colfax Ave', 'Denver, CO 80206']",(303) 377-1666,173,4.0,2,2,"['Performing Arts', 'Music Venues']",1947.1173489180035
m6hFStjFi3KfRXf4v777Cw,Mission Ballroom,"['4242 Wynkoop St', 'Denver, CO 80216']",,43,4.0,0,1,['Music Venues'],4524.650241093033
8WGzLAv1Mu_R9amiMz6RuQ,The Soiled Dove Underground,"['7401 E 1st Ave', 'Denver, CO 80230']",(303) 366-0007,89,4.0,2,2,"['Music Venues', 'Venues & Event Spaces']",6189.800684005699
TYf0Pii-XhKvwwnOhVo28g,Fillmore Auditorium,"['1510 Clarkson St', 'Denver, CO 80218']",(303) 837-0360,180,3.0,2,2,"['Music Venues', 'Performing Arts']",816.3508410939133
c3QuHjgIkESyn_eD4EiACA,Nocturne,"['1330 27th St', 'Denver, CO 80205']",(303) 295-3333,265,4.5,3,3,"['Jazz & Blues', 'American (New)', 'Cocktail Bars']",2947.3400411585912
hrnBaK2NCvu9NGU4m8dGRw,Larimer Lounge,"['2721 Larimer St', 'Denver, CO 80205']",(303) 291-1007,123,3.5,1,3,"['Lounges', 'Music Venues', 'Cocktail Bars']",2954.775202770799
4LiJ9Yz_OpKbCBbfLCj0yw,The Walnut Room,"['3131 Walnut St', 'Denver, CO 80205']",(303) 295-1868,253,3.5,2,3,"['Pizza', 'Music Venues', 'Bars']",3311.806647373658
DP1dL3wAp2yzKJ6Z2mr-UQ,Herb's Hideout,"['2057 Larimer St', 'Denver, CO 80205']",(303) 299-9555,95,4.0,1,3,"['Lounges', 'Music Venues', 'Dive Bars']",2751.12090780332
cLnrXcOzgwr0qiyJRlaGzg,Cervantes' Masterpiece,"['2637 Welton St', 'Denver, CO 80205']",(303) 297-1772,97,3.5,2,1,['Music Venues'],2238.056671456324
uQSpae3j0ml14hgkMZ375w,Hi-Dive,"['7 S Broadway', 'Denver, CO 80223']",(303) 733-0230,117,3.5,1,2,"['Dive Bars', 'Music Venues']",2607.6226832424086
9TNpeeRfAd3hCRBOAq6Jyg,Dancin' Shoes,"['Denver, CO 80218']",(303) 501-7888,9,5.0,0,1,['DJs'],315.8072509197713
fbRq3NgI-NTcWMnBYQK0FQ,Gothic Theatre,"['3263 S Broadway', 'Englewood, CO 80113']",(303) 789-9206,138,3.5,2,1,['Music Venues'],8792.9767337838
smcqQSgZZafoKVC4ABVglg,Dazzle,"['1512 Curtis St', 'Denver, CO 80202']",(303) 839-5100,487,4.0,2,3,"['Jazz & Blues', 'Lounges', 'Breakfast & Brunch']",2467.131143891298
vJ569GGRvjNOQjH260puUg,The Black Box,"['314 E 13th Ave', 'Denver, CO 80203']",(303) 831-6207,23,3.5,2,3,"['Dance Clubs', 'Bars', 'Music Venues']",1110.6074808636915
m_27Of9wPCdMBXGNi70U0w,Lion's Lair,"['2022 E Colfax Ave', 'Denver, CO 80206']",(303) 320-9200,68,4.0,1,3,"['Music Venues', 'Dive Bars', 'Comedy Clubs']",792.4680273266833
HWSOaP3WEWXdsBloIvIR_w,Broadway Roxy,"['554 S Broadway', 'Denver, CO 80209']",(720) 456-7041,44,4.5,0,3,"['American (New)', 'Music Venues', 'Breakfast & Brunch']",3536.0262662817822
JRwq6JtrpW1c445q2OBXWw,The Oriental Theater,"['4335 W 44th Ave', 'Denver, CO 80212']",(720) 420-0030,94,4.0,1,2,"['Cinema', 'Music Venues']",7775.588089324349
QIylo75fUWlVXy73HKGNKg,Mercury Cafe,"['2199 California St', 'Denver, CO 80205']",(303) 294-9281,289,3.5,2,2,"['Music Venues', 'American (New)']",2138.438588893061
Dn_HjV1xpae1kAB7vioxHg,Lost Lake Lounge,"['3602 E Colfax Ave', 'Denver, CO 80206']",(303) 296-1003,80,3.5,1,2,"['Music Venues', 'Cocktail Bars']",2235.114249237826
PqLOiIWnXKvgvhGI5ZKcHw,Skylark Lounge,"['140 S Broadway', 'Denver, CO 80209']",(303) 722-7844,140,3.5,1,2,"['Music Venues', 'Lounges']",2830.6165241970566
t09cPwGnUeKYgf73BsVjPQ,El Chapultepec,"['1962 Market St', 'Denver, CO 80202']",(303) 295-9126,160,4.0,1,2,"['Jazz & Blues', 'Dive Bars']",2812.071895151004
CjJwgWKIXmMSviedeuh8Qg,Be On Key Psychedelic Ripple,"['1700 Logan St', 'Denver, CO 80203']",(303) 861-7070,24,3.5,1,2,"['Bars', 'Music Venues']",1341.5664231738642
psESMQAg6u2MNnY5DzGcDQ,Appaloosa Grill,"['535 16th St', 'Ste 110', 'Denver, CO 80202']",(720) 932-1700,849,4.0,2,3,"['American (New)', 'Bars', 'Burgers']",2028.7347412184108
kz881VpJace1ETVJS3gsIg,Globe Hall,"['4483 Logan St', 'Denver, CO 80216']",(303) 296-1003,58,4.0,2,3,"['Dive Bars', 'Music Venues', 'Barbeque']",4845.7717199442695
N_tX1pJz92Ls-4sMQvMLpA,Postino LoHi,"['2715 17th St', 'Denver, CO 80211']",(303) 433-6363,629,4.5,2,3,"['Italian', 'Wine Bars', 'Breakfast & Brunch']",4494.647303313506
qmB8fsetAnwbfMR_rF300Q,Paramount Theatre,"['1621 Glenarm Pl', 'Denver, CO 80202']",(303) 825-4904,133,3.5,0,1,['Performing Arts'],1974.1010061239922
iwSpNPvpxwmjwrWHTAveeQ,The Venue,"['1451 Cortez St', 'Denver, CO 80221']",(303) 428-3339,12,4.0,1,2,"['Bars', 'Music Venues']",10998.874690657585
tnXYXUAoYnfE_Gvh0IiIQg,Ophelia's Electric Soapbox,"['1215 20th St', 'Denver, CO 80202']",(303) 993-8023,976,4.5,2,3,"['Bars', 'Breakfast & Brunch', 'Venues & Event Spaces']",2658.241748787643
67ux5754998XXts1CI4mHg,The Grizzly Rose,"['5450 N Valley Hwy', 'Denver, CO 80216']",(303) 295-1330,196,3.5,1,3,"['Bars', 'Music Venues', 'Country Dance Halls']",6798.846417442994
Md8oTgn7B0eOv7sRPJlviQ,Bar Louie Denver,"['8332 Northfield Blvd', 'Denver, CO 80238']",(720) 677-6600,471,3.0,2,3,"['Bars', 'American (New)', 'Gastropubs']",8443.470442842347
DUfba0vKx3HQynxoMOnTnw,Quixote's True Blue Cafe,"['1700 Logan St', 'Denver, CO 80203']",(303) 861-7070,43,3.5,1,2,"['Music Venues', 'Bars']",1344.635772247137
D3hvvODQuIiGZymesh5Wsw,Local 46,"['4586 Tennyson St', 'Denver, CO 80212']",(720) 524-3792,100,4.0,1,3,"['Pubs', 'Dance Clubs', 'Music Venues']",7987.553317210656
h5wQ41Eeu94xrBk_gVyb0Q,Herman's Hideaway,"['1578 S Broadway', 'Denver, CO 80210']",(303) 777-5840,62,3.5,1,1,['Music Venues'],5494.41632085016
-r0tWm_9N1xEMFuFFLl-FA,Zio Romolo's Alley Bar,"['2400 W 32nd Ave', 'Denver, CO 80211']",(303) 477-4900,74,4.0,2,3,"['Lounges', 'Italian', 'Music Venues']",4893.277999738148
kRmYd-YMlTswHBnK4LBf2A,The Black Buzzard,"['1624 Market St', 'Denver, CO 80202']",(720) 502-3535,4,5.0,0,3,"['Performing Arts', 'Cajun/Creole', 'Beer Bar']",2839.7374247603393
ofPa6i98oFCiq0zoWj1cvw,Black Shirt Brewing,"['3719 Walnut St', 'Denver, CO 80205']",(303) 993-2799,326,4.5,1,3,"['Breweries', 'Pizza', 'Music Venues']",3814.589261976626
nZ7OeFoLKttTsF2jdgbQtQ,BurlyCute Burlesque,"['314 E 13th Ave', ""Bender's Tavern"", 'Denver, CO 80203']",(303) 295-1883,2,4.5,0,1,['Performing Arts'],1112.9988616617936
6F4_oM9oRzBDc7KeTEtvcw,Wild Corgi Pub,"['1223 E 13th Ave', 'Denver, CO 80218']",(303) 832-7636,47,4.5,0,2,"['Pubs', 'American (Traditional)']",231.91362059854177
kmnfhAPB68ppqBkK-Sf2vQ,RocketSpace Studios,"['2711 Larimer St', 'Denver, CO 80205']",(720) 515-1671,3,4.5,0,1,['Recording & Rehearsal Studios'],2948.7174981526373
OshekCrMxlX1tkwOPxXGfw,The Roxy Theatre,"['2549 Welton St', 'Denver, CO 80205']",(720) 242-9782,19,2.5,2,1,['Music Venues'],2184.853993631055
yQ7SJ-0NEhdiZHjYxGGrpg,The Bar Car,"['819 Colorado Blvd', 'Denver, CO 80206']",(720) 524-8099,171,4.0,1,1,['Bars'],2594.957197097045
POdfq95DS6NeEctc2-WJdw,The Thin Man,"['2015 E 17th Ave', 'Denver, CO 80206']",(303) 320-7814,322,4.0,2,1,['Bars'],1078.4993984912815
KV9dSt_n-OR2lGQjX58ytQ,Denver Comedy Lounge,"['3559 Larimer St', 'Denver, CO 80205']",(720) 449-6963,4,5.0,0,1,['Comedy Clubs'],3613.529510351354
DZxCUXc4kRRB8WjtWNF9kA,The Rusty Bucket Bar and Grill,"['3355 S Wadsworth Blvd', 'Ste G101', 'Lakewood, CO 80227']",(303) 980-6200,76,3.5,1,3,"['Bars', 'Music Venues', 'American (Traditional)']",13094.464762549454
uOgwMiqcxqkHl8z4mkFPkQ,Hudson Hill,"['619 E 13th Ave', 'Denver, CO 80203']",(303) 832-0776,235,4.5,2,3,"['Cocktail Bars', 'Wine Bars', 'Coffee & Tea']",800.8200987535582
vQeS4_jVes9imO8bfU2KCg,Adrift Tiki Bar,"['218 S Broadway', 'Denver, CO 80209']",(303) 778-8454,492,4.0,2,3,"['Tiki Bars', 'Cocktail Bars', 'Hawaiian']",2930.037285224832
curOE41RquQVx0awxRPScg,Rhinoceropolis,"['3553 Brighton Blvd', 'Denver, CO 80238']",,12,4.0,1,2,"['Venues & Event Spaces', 'Art Galleries']",4013.6248589740376
WcluDiynwZeeOTcuUqX87Q,The 1UP Arcade Bar - Colfax,"['717 E Colfax Ave', 'Denver, CO 80203']",(303) 736-2230,228,3.5,1,2,"['Bars', 'Arcades']",848.7406344233699
fqVkNpn43o-XWxHJfFpBbg,The Church,"['1160 Lincoln St', 'Denver, CO 80203']",(303) 832-3528,120,3.0,2,3,"['Bars', 'Music Venues', 'Dance Clubs']",1327.8896068132233
w-eA1Vac8szhi3LQ44Ub6A,Milk,"['1037 Broadway', 'Denver, CO 80203']",(720) 329-7154,109,4.0,1,2,"['Lounges', 'Dance Clubs']",1514.4834314304098
kcSZHlnFAGZiX5SIurlDTw,Lincoln's Roadhouse,"['1201 S Pearl St', 'Denver, CO 80210']",(303) 777-3700,120,4.0,1,3,"['Bars', 'Cajun/Creole', 'Music Venues']",4633.758158515109
wWJkM-QUdIsgLV-pp_bYDQ,TRVE Brewing,"['227 Broadway', 'Ste 101', 'Denver, CO 80203']",(303) 351-1021,250,4.0,2,2,"['Breweries', 'Bars']",2287.93864995318
ytb0pP6YyNDrKosiR-g9VQ,Eddie V's Prime Seafood,"['5111 Dtc Pkwy', 'Greenwood Village, CO 80111']",(720) 826-7488,2,5.0,0,3,"['Seafood', 'Lounges', 'Steakhouses']",13903.755595771894
LCfSEQv7Z2WcweLH9NEQmw,Zephyr  Lounge,"['11940 E Colfax Ave', 'Aurora, CO 80010']",(303) 364-8981,32,3.5,1,3,"['Bars', 'American (Traditional)', 'Music Venues']",10412.126993820859
H37Umy9ue8RfqnYjOMrEZQ,The Alley,"['2420 W Main St', 'Ste 110', 'Littleton, CO 80120']",(720) 316-8002,179,4.0,2,3,"['Mexican', 'Cocktail Bars', 'Music Venues']",14138.104805077215
-ZOAH1WtmplaHG5xP5Kijw,Ambli Mexico,"['600 S Holly St', 'Denver, CO 80246']",(303) 355-9463,432,4.5,2,3,"['Wine Bars', 'Mexican', 'Cocktail Bars']",5359.96937026475
139JfE2uaJD-Z0EWW2cHxg,The Preservery,"['3040 Blake St', 'Ste 101', 'Denver, CO 80205']",(303) 298-6821,236,4.0,2,3,"['Bars', 'American (New)', 'Breakfast & Brunch']",3316.313768934375
C1a6I6OF2SQ81RLSGMgcmA,The Arvada Tavern,"['5707 Olde Wadsworth Blvd', 'Arvada, CO 80002']",(303) 690-6269,569,4.5,2,3,"['Lounges', 'American (Traditional)', 'Cocktail Bars']",11953.251460768863
cvLZ980Zw9YpZK-b4r5l_A,The Wright Room,"['535 16th St', 'Ste 240', 'Denver, CO 80202']",(720) 936-8361,11,5.0,0,1,['Venues & Event Spaces'],2028.7347412184108
YxeTWblmRB3m7egJzgAJCg,Pony Up,"['1808 Blake St', 'Denver, CO 80202']",(720) 710-8144,207,4.5,2,3,"['Sandwiches', 'Cocktail Bars', 'American (New)']",2897.700785323172
17B7mc-bRR2dkaDXcmtutQ,The Buell Theatre,"['1345 Champa St', 'Denver, CO 80204']",(720) 865-4220,180,4.5,0,1,['Performing Arts'],2538.2569560914785
QjYX71KTgQUv-O-T4--V7g,The Owl Saloon,"['5026 E Colfax Ave', 'Denver, CO 80220']",(720) 379-5085,33,4.5,1,3,"['Bars', 'Pizza', 'Sandwiches']",3609.113070210763
wzYVCOB3U2EkWSrI4fl1lA,Bigsby's Folly,"['3563 Wazee St', 'Denver, CO 80216']",(720) 485-3158,150,4.5,2,3,"['Wine Tasting Room', 'Bars', 'Venues & Event Spaces']",3859.8360919620245
6OQ7HXYL9TTMY7ooM2rkhA,Stoney's Bar and Grill,"['1111 Lincoln St', 'Denver, CO 80203']",(303) 830-6839,436,3.5,2,3,"['Sports Bars', 'Music Venues', 'Cocktail Bars']",1397.6881526523282
NOkJ14ltntgE4XWS5AgOSA,The Brutal Poodle,"['1967 South Broadway', 'Denver, CO 80210']",(720) 379-6281,303,4.5,2,2,"['Bars', 'American (Traditional)']",6256.544162049144
ufXp7qSQKhbyDCEl_9nAPQ,Middleman,"['3401 E Colfax Ave', 'Denver, CO 80206']",(303) 353-4207,38,4.0,2,3,"['Cocktail Bars', 'Music Venues', 'Burgers']",2029.142424046637
vRLQV5EntI655QNp2uSkkA,The Bluegrass Coffee & Bourbon Lounge,"['7415 Grandview Ave', 'Arvada, CO 80002']",(720) 476-3950,278,4.5,2,3,"['Bars', 'Pizza', 'Coffee & Tea']",11757.121383647438
ziS-GJn-3Ux6t5l-0IUNog,The Capital Grille,"['1450 Larimer St', 'Denver, CO 80202']",(303) 539-2500,669,4.5,4,3,"['Steakhouses', 'Seafood', 'Wine Bars']",2791.5904105017594
QmgLDVzZl_91e3-GceV-5w,The Hornet,"['76 Broadway', 'Denver, CO 80203']",(303) 777-7676,704,4.0,2,3,"['American (Traditional)', 'Pubs', 'Beer Bar']",2419.8896467059167
9izE1WR8-2LNDq3RE0dOug,Society Sports And Spirits,"['1434 Blake St', 'Denver, CO 80202']",(720) 517-7303,203,4.5,2,2,"['Sports Bars', 'Whiskey Bars']",3002.060836689019
FfwLdr5-TBINeZbR4ey_WQ,Irish Snug,"['1201 E Colfax Ave', 'Denver, CO 80218']",(303) 839-1394,485,4.0,2,3,"['Venues & Event Spaces', 'Irish Pub', 'Burgers']",541.9058239564879
aYi87LRtyJd5O3qmJxmCgA,Vinue Food and Wine Bar,"['2817 E 3rd Ave', 'Ste A', 'Denver, CO 80206']",(720) 287-1156,197,4.0,2,3,"['Wine Bars', 'American (New)', 'Tapas/Small Plates']",2093.330545587293
SyXvhYyWzhA5YH5qlqSA5g,Tracks Nightclub,"['3500 Walnut St', 'Denver, CO 80205']",(303) 863-7326,121,3.5,2,2,"['Gay Bars', 'Dance Clubs']",3626.564011975825
F5fGE-Kc7d1eTitKwgrtGQ,Number Thirty Eight,"['3560 Chestnut Pl', 'Denver, CO 80216']",(303) 493-6651,6,4.0,0,3,"['Venues & Event Spaces', 'Bars', 'American (New)']",4152.094470048408
YB-th2or0P4qyeF15SVrog,Vesper Lounge,"['233 E 7th Ave', 'Denver, CO 80203']",(720) 328-0314,144,4.0,2,3,"['American (Traditional)', 'Cocktail Bars', 'Lounges']",1475.1617370380188
SLdD4k7FzMvKT7nN71vtGQ,P S Lounge,"['3416 E Colfax Ave', 'Denver, CO 80206']",(303) 320-1200,197,4.0,1,1,['Dive Bars'],2061.225386474019
ICUDsb4uuNCHboyvcYE1ew,University Club,"['1673 N Sherman St', 'Denver, CO 80202']",(303) 861-4267,12,4.5,0,1,['Venues & Event Spaces'],1527.701721309453
8xDtCP__qpeWX4z_IZ6p-A,La Rumba,"['99 W 9th Ave', 'Denver, CO 80204']",(303) 572-8006,89,4.0,2,2,"['Dance Clubs', 'Dance Studios']",1662.3789726165078
iLilGbTfMUGDwKLwDOCgng,Illegal Pete's,"['270 S Broadway', 'Denver, CO 80209']",(720) 287-5233,316,4.0,2,3,"['Bars', 'Mexican', 'Breakfast & Brunch']",3010.5801829676875
HkuesYkfKvKQ4Wkek8WQjQ,Bar Max,"['2412 E Colfax Ave', 'Denver, CO 80206']",(303) 333-0003,143,4.5,2,3,"['Wine Bars', 'Cocktail Bars', 'Whiskey Bars']",1130.2581620903202
4lnUwE0OnxT74OF-C3CdfA,Vintage Theatre,"['1468 Dayton St', 'Aurora, CO 80010']",(303) 856-7830,42,4.5,0,1,['Performing Arts'],8166.277702876011
yuzp8qeNTuQBIHzKqYWXPw,Prohibition,"['504 E Colfax Ave', 'Denver, CO 80203']",(303) 832-4840,550,4.0,2,2,"['American (New)', 'Cocktail Bars']",1030.8607626113037
jAJrjVkckhVRJNS0SSPZfQ,"The Brown Palace Hotel and Spa, Autograph Collection","['321 17th St', 'Denver, CO 80202']",(303) 297-3111,423,3.5,3,2,"['Hotels', 'Venues & Event Spaces']",1772.65063491834
bN6dA-S4lmh3vbSCTz5-qQ,Cheba Hut Toasted Subs,"['1531 Champa St', 'Denver, CO 80204']",(720) 974-1880,394,4.0,1,2,"['Sandwiches', 'Bars']",2404.8781028430885
A5Agg5CwZWeto_F5p5gwRg,Molly Brown Summer House,"['2690 S Wadsworth Blvd', 'Denver, CO 80227']",(720) 253-8349,5,5.0,0,2,"['Museums', 'Venues & Event Spaces']",12087.762825993468
CimQlkT65cnIxG8PeLyQBw,Moments Notice Entertainment,"['225 S Broadway', 'Ste 9469', 'Denver, CO 80209']",(303) 778-1608,3,5.0,0,3,"['DJs', 'Musicians', 'Performing Arts']",2957.1156423718635
nzdw9kZZH_720sfbRTEydw,Zeppelin Station,"['3501 Wazee St', 'Ste 100', 'Denver, CO 80216']",(720) 460-1978,100,3.5,2,3,"['Bars', 'Food Court', 'Food Stands']",3807.90312436277
V5_fzxx4iMtVv2a1ubJiHA,Fort Greene,"['321 E 45th Ave', 'Denver, CO 80216']",(303) 362-0197,46,4.5,2,2,"['Beer Gardens', 'Cocktail Bars']",4898.8803542653295
jv3UThmfMVYwNcxoqjb8fg,Esters Neighborhood Pub,"['1950 S Holly St', 'Denver, CO 80222']",(303) 955-4904,704,4.5,2,3,"['Pizza', 'American (New)', 'Pubs']",7341.286744355406
zvIyN3AiWUseIj4zlHL5TA,Club Vinyl,"['1082 Broadway', 'Denver, CO 80203']",(303) 860-8469,129,2.5,2,2,"['Dance Clubs', 'Bars']",1452.782684140166
dsseqfpsZ0y-hHtUY-lYNw,The Lake House,"['4800 S Dayton St', 'Cherry Creek State Park', 'Greenwood Village, CO 80111']",(303) 220-5253,5,3.0,2,3,"['Venues & Event Spaces', 'Music Venues', 'Cocktail Bars']",13549.130538038426
nGE69W_8ihW3gngydPQFGg,Horseshoe Lounge,"['414 E 20th Ave', 'Denver, CO 80205']",(303) 832-1180,212,4.0,1,1,['Lounges'],1657.5354869915086
gGXnG-Rf5UUr6wT8krXT5w,Williams & Graham,"['3160 Tejon St', 'Denver, CO 80211']",(303) 997-8886,806,4.5,2,2,"['American (Traditional)', 'Speakeasies']",4553.231209250954
r4Z1NIAjwK4g6Za2CUYkWw,Rocky Mountain Recorders,"['1250 W Cedar Ave', 'Denver, CO 80223']",(303) 777-3648,1,5.0,0,1,['Recording & Rehearsal Studios'],3752.953904376033
whMF9UFpUrtalDgqr_yENw,Kinga's Lounge,"['1509 Marion St', 'Denver, CO 80218']",(303) 830-6922,261,3.5,2,3,"['Lounges', 'Polish', 'Breakfast & Brunch']",560.6498650692919
xYj-_U_LFz05YV50WTKT-Q,DJ Rockstar Aaron,"['700 N Colorado Blvd', 'Ste 624', 'Denver, CO 80206']",(720) 221-6925,29,5.0,0,2,"['DJs', 'Wedding Planning']",2700.551309273282
Wi9g2scNN4RUGR4SGp6NZQ,Aztlan Theatre Bar,"['974 Santa Fe Dr', 'Denver, CO 80204']",(303) 573-0188,1,5.0,0,2,"['Bars', 'Performing Arts']",2437.674188053606
GwC_QJCjuimv_nLYQXQdwQ,Denver Center for the Performing Arts,"['1101 13th St', 'Denver, CO 80204']",(303) 893-4100,125,4.0,0,1,['Performing Arts'],2706.4945176943397
